branch_id,plant_id,plant_num,orientation,farmer,plot_id,plot_type,fert_trt,shd_trt,per_thin,e1i_len,e1i_tot_nod,e1i_pot_nod,e1i_new_nod,e1i_pre_frt,e1i_post_frt,e1i_tot_lvs,e1i_sick_lvs,e1i_sick_id,e1_calc_per_thin,e1i_frt_pot_nod,e1h_len,e1h_tot_nod,e1h_new_nod,e1h_frt_nod,e1h_pot_nod,e1h_tot_fruit,e1h_tot_lvs,e1h_sick,e1h_sick_id,e1h_db_anth,e1h_anthrac,e1i_ht,e1h_ht,e1_ortho,e2f_length,e2f_lat,e2f_tot_nod,e2f_new_nod,e2f_flor_nod,e2f_buds,checkingbuds,e2f_lvs,e2f_sick,e2f_sick_id,e2f_anthrac,e2i_tot_len,e2i_new_len,e2i_diam,e2i_tot_nod,e2i_new_nod,e2i_frt_nod,e2i_frts,e2i_lvs,e2i_sick,e2i_sick_id,e2i_lat,e2i_db_anth,e2f_bud_nod ,e2i_ffnod,e2f_bud_nod_int ,e2h_tot_len,e2h_new_len,e2h_diam,e2h_tot_nod,e2h_new_nod,e2h_frtd_nod,e2h_frt,e2h_tot_lvs,e2h_sick_lvs,e2h_sick_type,e2h_anth,e2h_lat,
677,170,82,N,Miguel,X8,lsun,l,sun,0,24,9,7,2,NA,41,7,0,NA,NA,5.857142857,23.5,10,3,6,7,36,0,NA,NA,1,Y,203,236,5,21.5,0,7,3,0,0,0,0,NA,NA,N,20,0,5,7,0,0,0,0,0,na,0,1,0,0,0,20.00,0.00,4.00,7.00,0.00,0.00,0.00,0.00,0.00,na ,an,,
678,170,82,S,Miguel,X8,lsun,l,sun,0,25,9,6,3,NA,61,10,3,OU,NA,10.16666667,24.5,9,5,6,4,34,0,NA,NA,NA,NA,203,236,5,26,0,9,NA,0,0,0,0,NA,NA,Y,26,0,3,9,0,0,0,0,0,na,0,1,0,0,0,24.00,0.00,4.00,10.00,0.00,0.00,0.00,0.00,0.00,na ,an,,
679,170,82,E,Miguel,X8,lsun,l,sun,0,18,8,4,4,NA,14,7,0,NA,NA,3.5,19,10,6,4,4,11,3,0,NA,NA,NA,203,236,5,18,0,9,NA,0,0,0,0,NA,NA,Y,17,0,4,10,0,0,0,0,0,na,0,1,0,0,0,17.00,0.00,3.00,9.00,0.00,0.00,0.00,0.00,0.00,na ,an,,
680,170,82,W,Miguel,X8,lsun,l,sun,0,27,10,6,4,NA,57,11,2,OU,NA,9.5,28,11,5,6,6,41,0,NA,NA,1,Y,203,236,5,27,0,11,NA,0,0,0,0,NA,NA,Y,27,0,4.5,10,0,0,0,0,0,na,0,1,0,0,0,na,na,na,na,na,na,na,na,na,na ,,,
681,171,83,N,Miguel,X8,lsun,l,sun,0,17,5,3,2,NA,11,5,1,O,NA,3.666666667,17,6,2,4,4,11,3,2,R,0,N,214,234,5,16.5,0,6,NA,0,0,0,0,NA,NA,N,17,0,3,8,0,0,0,2,0,na,0,0,0,0,0,19.50,0.00,3.50,10.00,0.00,0.00,0.00,4.00,0.00,na ,,,
682,171,83,S,Miguel,X8,lsun,l,sun,0,34.5,10,7,3,NA,44,9,3,OU,NA,6.285714286,34.5,11,5,5,6,23,6,6,OR,0,N,214,234,5,35,0,11,NA,0,0,0,0,NA,NA,Y,34.5,0,4.5,10,0,0,0,0,0,na,2,1,0,0,0,33.50,0.00,4.50,9.00,0.00,0.00,0.00,0.00,0.00,na ,an 2,,
683,171,83,E,Miguel,X8,lsun,l,sun,0,23,7,4,3,NA,16,9,2,RU,NA,4,25,8,4,3,4,6,2,2,R,0,N,214,234,5,25,0,8,NA,4,7,3,0,NA,NA,N,26,0,4,10,0,0,0,4,0,na,0,0,1.75,0,2,27.50,0.00,3.50,11.00,0.00,0.00,0.00,6.00,0.00,na ,,,
684,171,83,W,Miguel,X8,lsun,l,sun,0,15,5,4,1,NA,14,2,0,NA,NA,3.5,17,5,2,3,3,11,0,NA,NA,1,Y,214,234,5,17.5,0,5,0,0,0,0,0,NA,NA,Y,15,0,3.5,4,0,0,0,4,0,na,0,0,0,0,0,20.00,0.00,4.00,8.00,0.00,0.00,0.00,5.00,0.00,na ,1,,
685,172,84,N,Miguel,X8,lsun,l,sun,66,27,12,7,5,8,5,7,3,O,37.5,0.714285714,33,15,12,1,3,2,0,NA,NA,1,Y,179,183,3,33,0,14,NA,0,0,0,0,NA,NA,Y,33,0,4,14,0,0,0,0,0,na,1,1,0,0,0,11.00,0.00,3.50,3.00,0.00,0.00,0.00,0.00,0.00,na ,s 1 ,,
686,172,84,S,Miguel,X8,lsun,l,sun,66,16,8,4,4,9,1,10,1,OU,88.88888889,0.25,24.5,11,7,1,4,1,9,6,O,1,Y,179,183,3,24,0,10,NA,8,36,28,0,NA,NA,Y,24,0,5,9,0,5,30,0,0,na,0,1,4.5,6,5,21.50,9.00,3.50,10.00,2.00,2.00,2.00,0.00,0.00,na ,an,,
